"You have been received a request for quote from %sender_name","You have been received a request for quote from %sender_name"
"You sent a request for quote to %receiver_name","You sent a request for quote to %receiver_name"
"You received an email from %sender_name","You received an email from %sender_name"
"You sent an email to %receiver_name","You sent an email to %receiver_name"
Proceed,Proceed
"Your file could not be uploaded. Please try again.","Your file could not be uploaded. Please try again."
"You cannot attach more than ten files per comment.","You cannot attach more than ten files per comment."
"Cannot Upload File","Cannot Upload File"
"The maximum allowed file size is %1 MB. Please select a different file.","The maximum allowed file size is %1 MB. Please select a different file."
"The maximum file name length is %1 characters.","The maximum file name length is %1 characters."
"The only special symbols that are allowed in the file name are dash (-) and underscore (_).","The only special symbols that are allowed in the file name are dash (-) and underscore (_)."
"%1 is not an allowed file type. Please select a different file.","%1 is not an allowed file type. Please select a different file."
"Allowed file formats: %1.","Allowed file formats: %1."
"Quick Rfq","Quick Rfq"
"Options For RFQ","Options For RFQ"
"Enable RFQ","Enable RFQ"
"Required Customer Login","Required Customer Login"
"Enable Terms","Enable Terms"
"Terms Label","Terms Label"
"Terms and Conditions of RFQ","Terms and Conditions of RFQ"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Send Emails To Admin","Send Emails To Admin"
"Email Template After Create Quote for Admin","Email Template After Create Quote for Admin"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Template After Create Quote For Customer","Email Template After Create Quote For Customer"
"Email Template After Send Message For Sender","Email Template After Send Message For Sender"
"Email Template After Send Message For Receiver","Email Template After Send Message For Receiver"
"Upload Restrictions For RFQ","Upload Restrictions For RFQ"
"Enable Upload","Enable Upload"
"File formats for upload","File formats for upload"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed."
"Maximum file size","Maximum file size"
"File size in MB. Note that this setting can be overridden by the server settings.","File size in MB. Note that this setting can be overridden by the server settings."
"Google Captcha Keys","Google Captcha Keys"
Enable,Enable
"Google Captcha Secret Key","Google Captcha Secret Key"
"Get Key From https://www.google.com/recaptcha/admin","Get Key From https://www.google.com/recaptcha/admin"
"Google Captcha Site Key","Google Captcha Site Key"
"Quote Process Options","Quote Process Options"
"Set Expiry days","Set Expiry days"
"Set number days after the quote was approved. Default: 10","Set number days after the quote was approved. Default: 10"
"Auto Apply Coupon","Auto Apply Coupon"
"Keep Old Cart Items","Keep Old Cart Items"
"Message Text when admin Update quote data for Customer","Message Text when admin Update quote data for Customer"
"Message Text when Close quote for Customer","Message Text when Close quote for Customer"
